"levels","lowest","high_level","low_level","method","datasets","task_fractions","train_time","test_time","mae_error","median_ae_error","minimum_ae_error","maximum_ae_error","mae_relative","median_ae_relative","minimum_ae_relative","maximum_ae_relative","mae_std","median_ae_std","minimum_ae_std","maximum_ae_std","pearson_error","spearman_error","kendall_error","pearson_std","spearman_std","kendall_std"
2,"PBE0",5,6,"Delta","CT",1,2.84989404678345,1.48021578788757,0.214514336034065,0.196966897053755,3.72016762267835E-06,1.33001301956866,0.022636266518735,0.021376256795093,4.24401943169729E-07,0.124647047274836,0.8640612198287,0.802014188469208,0.192495435498969,2.04556186307875,0.950949096104744,0.945702106465883,0.801724137931034,0.233163134087656,0.225114991357337,0.152155172413793
2,"PBE0",10,11,"Delta","CT",1,0.000587940216064453,0.0106680393218994,0.164615252146884,0.12244462637668,0.000442541943557195,1.26470709438868,0.0171505333888169,0.0131757064902264,5.26291153593047E-05,0.118526663020346,0.649729322297887,0.597052021087541,0.180277914831158,1.64119529814325,0.963150477025203,0.961185289895409,0.848001567398119,0.266775132325498,0.220761799431635,0.148942006269592
2,"PBE0",20,21,"Delta","CT",1,0.00120997428894043,0.0107250213623047,0.11859718768089,0.0800700477164091,0.000201247725103659,1.51600861117425,0.012287367458467,0.00861427295092297,1.94108132245125E-05,0.142078306186342,0.505249476810211,0.456607905084704,0.170114519838944,1.50400321484935,0.97082387416433,0.966915082178537,0.882210031347962,0.138868291290489,0.123317244309026,0.0831112852664577
2,"PBE0",40,41,"Delta","CT",1,0.00236392021179199,0.0130441188812256,0.154110152983789,0.0984423969780582,0.000201739658116512,1.60549184824835,0.0162726311787567,0.0104093483147484,2.22724121898907E-05,0.150464555882978,0.377632718013813,0.348771192835233,0.128263000927669,1.35978805710851,0.959420669824501,0.947124849852049,0.836755485893417,0.246119238236677,0.290907992265549,0.196551724137931
2,"PBE0",80,81,"Delta","CT",1,0.00348401069641113,0.034743070602417,0.131463318290434,0.0845598273647532,2.80855741636166E-05,1.4672986849446,0.0137619777686388,0.00932961179890045,2.89446812250853E-06,0.137875026634086,0.279476488688587,0.25428999140839,0.107738370529079,1.14205089579236,0.967280157630968,0.959118741393959,0.864537617554859,0.209467286672456,0.248831043271907,0.168573667711599
2,"PBE0",160,161,"Delta","CT",1,0.0104911327362061,0.0184810161590576,0.140279943886358,0.0856921850347492,0.000241027233566976,1.53573735829666,0.0144384567563056,0.00916377544743179,2.32476397453918E-05,0.143927258068059,0.20060836073532,0.187417757123372,0.0856116282550027,0.779995791686864,0.964141824797214,0.961899041982832,0.873236677115987,0.19165333902379,0.214223771716521,0.145611285266458
2,"PBE0",320,321,"Delta","CT",1,0.0290589332580566,0.0343630313873291,0.124504495459184,0.0789093869612962,0.000563380651376788,1.5014000104982,0.0128459752601493,0.00867899697299724,4.79460653862982E-05,0.146039220204392,0.147509113599513,0.137349956511022,0.0669951948127246,0.631372575148076,0.966148163168599,0.964314592915946,0.882170846394984,0.22324378284651,0.269629830369437,0.178644200626959
2,"PBE0",5,6,"Delta","CAT",1,0.000276088714599609,0.0206828117370605,0.214514336034065,0.196966897053755,3.72016762267835E-06,1.33001301956866,0.022636266518735,0.021376256795093,4.24401943169729E-07,0.124647047274836,0.8640612198287,0.802014188469208,0.192495435498969,2.04556186307875,0.950949096104744,0.945702106465883,0.801724137931034,0.233163134087656,0.225114991357337,0.152155172413793
2,"PBE0",10,11,"Delta","CAT",1,0.000317811965942383,0.0070500373840332,0.164615252146884,0.12244462637668,0.000442541943557195,1.26470709438868,0.0171505333888169,0.0131757064902264,5.26291153593047E-05,0.118526663020346,0.649729322297887,0.597052021087541,0.180277914831158,1.64119529814325,0.963150477025203,0.961185289895409,0.848001567398119,0.266775132325498,0.220761799431635,0.148942006269592
2,"PBE0",20,21,"Delta","CAT",1,0.00070500373840332,0.00721812248229981,0.11859718768089,0.0800700477164091,0.000201247725103659,1.51600861117425,0.012287367458467,0.00861427295092297,1.94108132245125E-05,0.142078306186342,0.505249476810211,0.456607905084704,0.170114519838944,1.50400321484935,0.97082387416433,0.966915082178537,0.882210031347962,0.138868291290489,0.123317244309026,0.0831112852664577
2,"PBE0",40,41,"Delta","CAT",1,0.00149297714233398,0.00901198387145996,0.154110152983789,0.0984423969780582,0.000201739658116512,1.60549184824835,0.0162726311787567,0.0104093483147484,2.22724121898907E-05,0.150464555882978,0.377632718013813,0.348771192835233,0.128263000927669,1.35978805710851,0.959420669824501,0.947124849852049,0.836755485893417,0.246119238236677,0.290907992265549,0.196551724137931
2,"PBE0",80,81,"Delta","CAT",1,0.00333404541015625,0.0176808834075928,0.131463318290434,0.0845598273647532,2.80855741636166E-05,1.4672986849446,0.0137619777686388,0.00932961179890045,2.89446812250853E-06,0.137875026634086,0.279476488688587,0.25428999140839,0.107738370529079,1.14205089579236,0.967280157630968,0.959118741393959,0.864537617554859,0.209467286672456,0.248831043271907,0.168573667711599
2,"PBE0",160,161,"Delta","CAT",1,0.00895285606384277,0.0176420211791992,0.140279943886358,0.0856921850347492,0.000241027233566976,1.53573735829666,0.0144384567563056,0.00916377544743179,2.32476397453918E-05,0.143927258068059,0.20060836073532,0.187417757123372,0.0856116282550027,0.779995791686864,0.964141824797214,0.961899041982832,0.873236677115987,0.19165333902379,0.214223771716521,0.145611285266458
2,"PBE0",320,321,"Delta","CAT",1,0.0279688835144043,0.0292770862579346,0.124504495459184,0.0789093869612962,0.000563380651376788,1.5014000104982,0.0128459752601493,0.00867899697299724,4.79460653862982E-05,0.146039220204392,0.147509113599513,0.137349956511022,0.0669951948127246,0.631372575148076,0.966148163168599,0.964314592915946,0.882170846394984,0.22324378284651,0.269629830369437,0.178644200626959
2,"PBE0",5,6,"Delta","CAT",1,0.000167131423950195,0.0117650032043457,0.214514336034065,0.196966897053755,3.72016762267835E-06,1.33001301956866,0.022636266518735,0.021376256795093,4.24401943169729E-07,0.124647047274836,0.8640612198287,0.802014188469208,0.192495435498969,2.04556186307875,0.950949096104744,0.945702106465883,0.801724137931034,0.233163134087656,0.225114991357337,0.152155172413793
2,"PBE0",10,11,"Delta","CAT",1,0.000291109085083008,0.00669002532958984,0.164615252146884,0.12244462637668,0.000442541943557195,1.26470709438868,0.0171505333888169,0.0131757064902264,5.26291153593047E-05,0.118526663020346,0.649729322297887,0.597052021087541,0.180277914831158,1.64119529814325,0.963150477025203,0.961185289895409,0.848001567398119,0.266775132325498,0.220761799431635,0.148942006269592
