task,variance,lengthscale,rho,seed,objective_mle,objective_mae
PBE,7.049311018174854,1.0695058707699017,0.9854070655744404,7,-839.7972184505546,0.0021667370051434683
SCAN,18275.265031490504,1.1868245057987659,0.9969684649939292,27,-878.6381374753512,0.0016527507929617014
PBE,4.933328396165208,1.0695058707699057,0.9854070655744404,27,-839.7972184505551,0.0022597595493825066
PBE,0.7505407233560536,1.0695058707699097,0.9854070655744404,42,-839.7972184505547,0.0019727116897487683
CCSDT,3.4739362116595673,1.5629639446822172,1.0,41,-573.8138904005228,0.01067939515043951
PBE,0.45034994352742597,1.0695058707698937,0.9854070655744404,8,-839.7972184505552,0.0020450846232528005
PBE,0.10818908595602271,1.0695058707699094,0.9854070655744404,24,-839.7972184505546,0.0022416064002533866
CCSDT,6.488149752014101,1.5629639446822263,1.0,37,-573.8138904005228,0.014761239261509511
PBE,2.2740640051426624,1.069505870769913,0.9854070655744404,2,-839.7972184505544,0.0026243123695518624
SCAN,0.6003818345997528,1.186824505798755,0.9969684649939292,39,-878.6381374753512,0.001532538503061044
CCSDT,0.6036355203343625,1.5629639446822239,1.0,28,-573.813890400523,0.013377083660800614
PBE,5.611857079329781,1.0695058707699197,0.9854070655744404,28,-839.7972184505547,0.0021812851918221548
PBE,1.4393937889040764,1.0695058707699003,0.9854070655744404,37,-839.7972184505547,0.002546403141295383
PBE,0.5878945113816537,1.0695058707699066,0.9854070655744404,17,-839.7972184505545,0.0019449649233790334
CCSDT,15.647555714992214,1.5629639446822008,1.0,62,-573.8138904005236,0.01228022780570114
CCSDT,20.88859474182506,1.562963944682213,1.0,61,-573.8138904005231,0.014934343374360231
SCAN,8.380088369036063,1.1868245057987452,0.9969684649939292,88,-878.6381374753508,0.001875342862059186
PBE,1.8046789887464192,1.0695058707699028,0.9854070655744404,61,-839.7972184505547,0.0027778815073811725
SCAN,5.646425824779136,1.1868245057987379,0.9969684649939292,25,-878.6381374753514,0.0020545112332658825
SCAN,17.944811695536497,1.1868245057987525,0.9969684649939292,30,-878.638137475351,0.0014882091574871198
SCAN,4.015200634198037,1.1868245057987616,0.9969684649939292,75,-878.638137475351,0.0017217306217111495
PBE,0.7361756383329363,1.069505870769894,0.9854070655744404,30,-839.7972184505549,0.0018776308157724313
SCAN,19.291144392989104,1.1868245057987619,0.9969684649939292,43,-878.6381374753511,0.0013518288960074178
SCAN,2.6915890355835272,1.186824505798731,0.9969684649939292,3,-878.6381374753512,0.0019105412015449498
PBE,3.516622986365387,1.0695058707698961,0.9854070655744404,5,-839.7972184505545,0.0029970831100452557
PBE,479.6433779792316,1.0695058707699097,0.9854070655744404,41,-839.7972184505545,0.0026455129768217594
SCAN,44.825353774765674,1.1868245057987168,0.9969684649939292,29,-878.638137475351,0.0015811822420019595
PBE,10.85234422589994,1.0695058707699092,0.9854070655744404,76,-839.7972184505547,0.00252209107949371
SCAN,1.386826569124251,1.1868245057987432,0.9969684649939292,38,-878.6381374753502,0.0020661426772521706
SCAN,3.6776319879703303,1.1868245057987672,0.9969684649939292,66,-878.6381374753508,0.002048139876424012
SCAN,0.8131513930655786,1.1868245057987499,0.9969684649939292,55,-878.6381374753514,0.0016147341149609854
PBE,67.65633531431595,1.069505870769897,0.9854070655744404,48,-839.7972184505549,0.0018658227419615168
PBE,7.857116136617756,1.069505870769909,0.9854070655744404,55,-839.7972184505547,0.0024779413244384024
PBE,136.90100789349125,1.0695058707699052,0.9854070655744404,80,-839.7972184505547,0.0017026661737180326
SCAN,6.728429068661558,1.1868245057987374,0.9969684649939292,19,-878.638137475351,0.001812776523946217
PBE,2.0641085273694584,1.0695058707698997,0.9854070655744404,19,-839.7972184505546,0.0020984991358158405
PBE,0.06171308966196215,1.0695058707699012,0.9854070655744404,44,-839.797218450555,0.0023110214685811087
