"task","variance","lengthscale","rho"
"CCSDT",8.13756914448178,1.56296394468223,1
"SCAN",4.01520063419804,1.18682450579875,0.996968464993929
"PBE",2.84325478712421,1.0695058707699,0.98540706557444
"CCSDT_PBE",3.49479737028162,1.05035592665317,1
"CCSDT_PBE_SCAN",3.49479737028162,1.05035592665317,0.782394238024017
"CCSDT_SCAN",4.27158603475402,1.1786375533146,1
"CCSDT_SCAN_PBE",4.27158603475402,1.1786375533146,0.782394238024017
"PBE_SCAN",1.14386609625704,1.04940689937451,1
"SCAN_PBE",1.14386609625704,1.04940689937451,1
"PBE_SCAN_CCSDT",1.14386609625704,1.04940689937451,-0.270734239113682
"SCAN_PBE_CCSDT",1.14386609625704,1.04940689937451,0.811345991970619
