levels,lowest,high_level,low_level,method,datasets,S_shared,train_time,test_time,mae_error,median_ae_error,minimum_ae_error,maximum_ae_error,mae_relative,median_ae_relative,minimum_ae_relative,maximum_ae_relative,mae_std,median_ae_std,minimum_ae_std,maximum_ae_std,pearson_error,spearman_error,kendall_error,pearson_std,spearman_std,kendall_std
2,PBE,5,5,Multitask,C,1.0,4.29747200012207,1.8489000797271729,0.01914974949604215,0.011343325035925514,0.00011973837572697502,0.22448544119595196,10.357209343490299,0.9983790277655915,0.006308405261773551,829.3612982725623,1.092165196373753,1.019943000074107,0.47707722642361705,2.514613543326168,0.12426515796699067,0.22955528532982106,0.15273083535344856,0.19014337956327235,-0.06288855359915624,-0.03538401253918495
2,PBE,5,6,Multitask,CT,1.0,0.11820316314697266,0.0355374813079834,0.008506591693988439,0.005096962671566745,1.86447787040335e-5,0.10519802558642342,5.1919333887211785,0.45348443480460154,0.0036096440478470796,412.39083776789266,0.7802623363288503,0.7287859054964096,0.35329680682359077,1.7800329272796027,0.9823141774749149,0.9548720931021786,0.8444575077483361,0.18735311611818628,-0.06016025547124484,-0.03460031347962383
2,PBE,10,10,Multitask,C,1.0,0.0005171298980712891,0.003247976303100586,0.019187200736327258,0.011615104893175389,0.00012524828423036635,0.2240389533213491,30.273180945115605,1.379099469441019,0.005218579617514846,2985.4027897883548,0.8577733223794596,0.7963345931246009,0.3331028978495026,2.414829801726918,0.21510209484846318,0.34052438651258315,0.2374920404514625,0.3678538815362148,0.20791682535962266,0.1399294670846395
2,PBE,10,11,Multitask,CT,1.0,0.14436554908752441,0.028076648712158203,0.008674460928866805,0.005283865621942716,9.524527460079424e-6,0.10521936244826738,13.96730157240807,0.553329547460869,0.0003968477905710113,1364.672988333971,0.6180273770330997,0.5738435923261341,0.26285684972159606,1.7132593207980775,0.9559444743675181,0.9053600467437829,0.7635758030223533,0.3560173941028397,0.2021013388802625,0.1363244514106583
2,PBE,20,20,Multitask,C,1.0,0.0006620883941650391,0.0036468505859375,0.021333533610657856,0.01181653963478719,0.00024796552702741786,0.23569660490607577,21.862114767889906,1.5956764546121958,0.01409902423746992,1257.3523071072234,0.6838193315394194,0.6131956051107483,0.30853902917791576,2.1927666825902543,0.15666428239373617,0.27957966607447865,0.21041391159213396,0.3076248162365875,0.25104737350950695,0.1669278996865204
2,PBE,20,21,Multitask,CT,1.0,0.22101616859436035,0.04411959648132324,0.010008670018360706,0.005636276654831886,9.827956177023423e-6,0.10703788250599591,11.033021243403216,0.6897118870697647,0.0005177849631181124,701.5674801165152,0.4967734232523993,0.44427214508060586,0.23198951354417788,1.5569116077292418,0.8680296719609059,0.8257107266305446,0.6472691656063083,0.2915098395076665,0.23792920341018955,0.15975705329153606
2,PBE,40,40,Multitask,C,1.0,0.0017631053924560547,0.0047779083251953125,0.0184618452572769,0.012274854955230872,0.00015003175245563438,0.19896971061913457,14.826557934633538,1.2928745267514368,0.006763696432322939,1401.084668078563,0.5319190895994541,0.4726940043737342,0.2082813336229087,1.8772050574152976,0.4674607880696093,0.499410119647916,0.36194954733601736,0.3237245200049006,0.10999875487065304,0.07398119122257053
2,PBE,40,41,Multitask,CT,1.0,0.6131656169891357,0.07115459442138672,0.008693529084451729,0.005710564626662064,1.7323691672579966e-5,0.09274306236351265,6.772415161498877,0.6476336542508245,0.0008142760728032636,673.7952766986848,0.3931541746765449,0.3510674929855924,0.17005176601371735,1.3475383634356122,0.9151690819364815,0.8985490023671644,0.7301494008269738,0.2831012549366725,0.06257141183019366,0.04314263322884013
2,PBE,80,80,Multitask,C,1.0,0.004694938659667969,0.006952047348022461,0.016553267330576684,0.010446398815896396,2.1659123322865202e-5,0.14422770086010955,20.372049388493146,1.1128821662499129,0.0034293739712059697,3359.1394427162877,0.4054751922101182,0.3694145364289524,0.15902962262062437,1.4952556046898053,0.6291036603635004,0.5985823462169184,0.4438109238731191,0.3205272537021151,0.10708844812937626,0.07202194357366772
2,PBE,80,81,Multitask,CT,1.0,1.630218505859375,0.14096283912658691,0.008197461519624218,0.005485331296881592,1.3324034266102105e-5,0.06757649921923117,10.100837096379355,0.5414681582379142,0.000991461440393965,1636.0920723496847,0.30791574772211777,0.2819210608301921,0.13434317249221042,1.0717164939909558,0.9233069291081887,0.8689011745788973,0.7078128835334612,0.3073783412767233,0.08862830691705974,0.059051724137931035
2,PBE,160,160,Multitask,C,1.0,0.014063835144042969,0.011164188385009766,0.011250583587565838,0.00735938829783009,5.4466883170345426e-8,0.10684901411341603,7.468726814282119,0.7089038594685686,1.1575410743758416e-5,391.52515520076264,0.3090568287269038,0.27443120282448474,0.10600915534960577,1.4202036826800175,0.813613721984707,0.7552061541651564,0.5846093565671385,0.40100077953657903,0.1422054902879911,0.0957680250783699
2,PBE,160,161,Multitask,CT,1.0,4.7959160804748535,0.364168643951416,0.005949478602855938,0.0038418881095207344,3.886887992641272e-5,0.05645107207860607,3.3892887984474207,0.3770452635865813,0.0017975926801273214,164.4544173477096,0.24339915255099193,0.2192405393754477,0.09725794671312975,1.0263013012751687,0.9529653595846014,0.9225391790236533,0.7779573852095799,0.3278292760737994,0.034661105088916885,0.022531347962382445
2,PBE,320,320,Multitask,C,1.0,0.045680999755859375,0.02048778533935547,0.009089433877814985,0.005347275567651357,5.696966952982441e-6,0.1265696564366842,7.109060697208129,0.48821571067676317,0.00011558014782005326,580.9730394206595,0.23475811706340757,0.20290163781738968,0.07312159690765317,1.280909697908781,0.8486248090742473,0.8124751775089726,0.6582023030183961,0.47292879208799493,0.1400854744675241,0.09529780564263322
2,PBE,320,321,Multitask,CT,1.0,15.954054832458496,0.8933627605438232,0.0052908721099158415,0.0030719668886234194,6.926277546126057e-5,0.06738022089524318,3.9116711669525976,0.2872739179758269,0.0012808890727595422,316.00434087605163,0.19252751581007613,0.16944225259999576,0.07132000451407416,0.9395815611022846,0.9565431468826658,0.9328160794628745,0.8019005642733277,0.3934030649347801,0.04142069258488852,0.026175548589341693
